v1:, 32.771, 35.464, 37.992, 30.616, 38.453, 35.657, 26.266, 38.045, 41.147, 37.353,
v2:, 32.403, 30.792, 36.955000, 32.229, 33.282, 39.602, 38.114, 34.847, 34.384, 34.641,
v3:, 31.962, 34.033, 38.757, 31.607, 34.419, 37.016, 31.784, 39.321, 35.974, 34.742,
v4:, 38.031, 36.041, 34.914, 38.801, 34.057, 35.654, 37.453, 39.379, 33.957, 29.289,
v5:, 35.355, 33.114, 33.732, 32.708, 34.864, 30.524, 38.052, 31.276, 31.208, 33.746,
v6:, 4.044, 3.450, 3.163, 3.390, 3.351, 3.389, 3.636, 3.211, 3.509, 3.357,
v7:, 3.490, 3.551, 3.271, 2.973, 3.256, 3.026, 2.949, 2.756, 2.794, 2.896,
v8:, 2.305, 2.476, 2.457, 2.261, 2.274, 2.424, 2.349, 2.569, 2.471, 2.448,
v9:, 2.295, 2.407, 2.689, 2.837, 3.618, 3.187, 3.636, 3.702, 3.998, 3.330,
v9:, 2.179, 2.183, 2.172, 2.222, 2.043, 2.117, 2.198, 2.183, 2.322, 2.088,
v10:, 1.588, 1.587, 1.584, 1.683, 1.655, 1.658, 1.693, 1.733, 1.630, 1.654,
v11:, 1.632, 1.484, 1.532, 1.573, 1.635, 1.654, 1.544, 1.564, 1.613, 1.591,
v12:, 1.729, 1.514, 1.563, 1.511, 1.423, 1.576, 1.482, 1.676, 1.516, 1.636,
v13:, 1.558, 1.849, 1.553, 1.695, 1.666, 1.471, 1.533, 1.448, 1.489, 1.666,
v14:, 1.505, 1.493, 1.431, 1.562, 1.368, 1.449, 1.533, 1.460, 1.457, 1.515,
v15:, 